Unit 0 -> (tensor(0.6929, device='cuda:0', dtype=torch.float16), 1.2061767578125)
Unit 1 -> (tensor(0.4941, device='cuda:0', dtype=torch.float16), 0.8013916015625)
Unit 2 -> (tensor(0.3711, device='cuda:0', dtype=torch.float16), 0.0810546875)
Unit 3 -> (tensor(0.6001, device='cuda:0', dtype=torch.float16), 0.2919921875)
Unit 4 -> (tensor(0.5513, device='cuda:0', dtype=torch.float16), 1.0550537109375)
Unit 5 -> (tensor(0.7866, device='cuda:0', dtype=torch.float16), 1.67919921875)
Unit 6 -> (tensor(0.8389, device='cuda:0', dtype=torch.float16), 0.21337890625)
Unit 7 -> (tensor(0.6011, device='cuda:0', dtype=torch.float16), 0.56884765625)
Unit 8 -> (tensor(0.7764, device='cuda:0', dtype=torch.float16), 0.06494140625)
Unit 9 -> (tensor(0.3809, device='cuda:0', dtype=torch.float16), 1.474609375)
Unit 10 -> (tensor(0.9692, device='cuda:0', dtype=torch.float16), 1.78759765625)
Unit 11 -> (tensor(0.7456, device='cuda:0', dtype=torch.float16), 0.57470703125)
Unit 12 -> (tensor(0.5054, device='cuda:0', dtype=torch.float16), 0.13720703125)
Unit 13 -> (tensor(0.6313, device='cuda:0', dtype=torch.float16), 0.865234375)
Unit 14 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 0.8477783203125)
Unit 15 -> (tensor(0.6021, device='cuda:0', dtype=torch.float16), 0.93212890625)
Unit 16 -> (tensor(0.4751, device='cuda:0', dtype=torch.float16), 0.107421875)
Unit 17 -> (tensor(0.6323, device='cuda:0', dtype=torch.float16), 0.0517578125)
Unit 18 -> (tensor(0.8486, device='cuda:0', dtype=torch.float16), 0.0966796875)
Unit 19 -> (tensor(0.9434, device='cuda:0', dtype=torch.float16), 0.4384765625)
Unit 20 -> (tensor(0.3936, device='cuda:0', dtype=torch.float16), 1.75537109375)
Unit 21 -> (tensor(0.6328, device='cuda:0', dtype=torch.float16), 1.28369140625)
Unit 22 -> (tensor(0.6733, device='cuda:0', dtype=torch.float16), 0.67529296875)
Unit 23 -> (tensor(0.8574, device='cuda:0', dtype=torch.float16), 1.85009765625)
